date,close
2023-07-12,80.11
2023-07-11,79.4
2023-07-10,77.69
2023-07-07,78.47
2023-07-06,76.52
2023-07-05,76.65
2023-07-03,74.65
2023-06-30,74.9
2023-06-29,74.34
2023-06-28,74.03
2023-06-27,72.26
2023-06-26,74.18
2023-06-23,73.85
2023-06-22,74.14
2023-06-21,77.12
2023-06-20,75.9
2023-06-16,76.61
2023-06-15,75.67
2023-06-14,73.2
2023-06-13,74.29
2023-06-12,71.84
2023-06-09,74.79
2023-06-08,75.96
2023-06-07,76.95
2023-06-06,76.29
2023-06-05,76.71
2023-06-02,76.13
2023-06-01,74.28
2023-05-31,72.66
2023-05-30,73.54
2023-05-26,76.95
2023-05-25,76.26
2023-05-24,78.36
2023-05-23,76.84
2023-05-22,75.99
2023-05-19,75.58
2023-05-18,75.86
2023-05-17,76.96
2023-05-16,74.91
2023-05-15,75.23
2023-05-12,74.17
2023-05-11,74.98
2023-05-10,76.41
2023-05-09,77.44
2023-05-08,77.01
2023-05-05,75.3
2023-05-04,72.5
2023-05-03,72.33
2023-05-02,75.32
2023-05-01,79.31
2023-04-28,79.54
2023-04-27,78.37
2023-04-26,77.69
2023-04-25,80.77
2023-04-24,82.73
2023-04-21,81.66
2023-04-20,81.1
2023-04-19,83.12
2023-04-18,84.77
2023-04-17,84.76
2023-04-14,86.31
2023-04-13,86.09
2023-04-12,87.33
2023-04-11,85.61
2023-04-10,84.18
2023-04-06,85.12
2023-04-05,84.99
2023-04-04,84.94
2023-04-03,84.93
2023-03-31,79.77
2023-03-30,79.27
2023-03-29,78.28
2023-03-28,78.65
2023-03-27,78.12
2023-03-24,74.99
2023-03-23,75.91
2023-03-22,76.69
2023-03-21,75.32
2023-03-20,73.79
2023-03-17,72.97
2023-03-16,74.7
2023-03-15,73.69
2023-03-14,77.45
2023-03-13,80.77
2023-03-10,82.78
2023-03-09,81.59
2023-03-08,82.66
2023-03-07,83.29
2023-03-06,86.18
2023-03-03,85.83
2023-03-02,84.75
2023-03-01,84.31
2023-02-28,83.89
2023-02-27,82.45
2023-02-24,83.16
2023-02-23,82.21
2023-02-22,80.6
2023-02-21,83.05
2023-02-17,83.0
2023-02-16,85.14
2023-02-15,85.38
2023-02-14,85.58
2023-02-13,86.61
2023-02-10,86.39
2023-02-09,84.5
2023-02-08,85.09
2023-02-07,83.69
2023-02-06,80.99
2023-02-03,79.94
2023-02-02,82.17
2023-02-01,82.84
2023-01-31,84.49
2023-01-30,84.9
2023-01-27,86.66
2023-01-26,87.47
2023-01-25,86.12
2023-01-24,86.13
2023-01-23,88.19
2023-01-20,87.63
2023-01-19,86.16
2023-01-18,84.98
2023-01-17,85.92
2023-01-13,85.28
2023-01-12,84.03
2023-01-11,82.67
2023-01-10,80.1
2023-01-09,79.65
2023-01-06,78.57
2023-01-05,78.69
2023-01-04,77.84
2023-01-03,82.1
