type,commodity,commodity_origin_iso2,commodity_origin_country,commodity_destination_iso2,commodity_destination_country,date,value_m3
crossborder,natural_gas,IT,Italy,AT,Austria,2023-01-01,12057514.924098672
crossborder,natural_gas,SK,Slovakia,AT,Austria,2023-01-01,24571342.089772124
crossborder,natural_gas,CH,Switzerland,BG,Bulgaria,2023-01-01,3784466.340044237
crossborder,natural_gas,DE,Germany,CZ,Czech Republic,2023-01-01,32136080.629495107
crossborder,natural_gas,AZ,Azerbaijan,GR,Greece,2023-01-01,33135078.98835337
crossborder,natural_gas,AT,Austria,HU,Hungary,2023-01-01,2022528.4577908944
crossborder,natural_gas,HR,Croatia,HU,Hungary,2023-01-01,2377442.7348735966
production,natural_gas,HU,Hungary,HU,Hungary,2023-01-01,-3006472.017493294
crossborder,natural_gas,RO,Romania,HU,Hungary,2023-01-01,516983.0804663806
crossborder,natural_gas,RS,Serbia,HU,Hungary,2023-01-01,9599736.509764452
crossborder,natural_gas,RU,Russia,HU,Hungary,2023-01-01,183.65613582964093
crossborder,natural_gas,GR,Greece,IT,Italy,2023-01-01,27006280.4238518
crossborder,natural_gas,HU,Hungary,RS,Serbia,2023-01-01,441080.2611695208
crossborder,natural_gas,HU,Hungary,SK,Slovakia,2023-01-01,4725779.957768784
crossborder,natural_gas,HU,Hungary,UA,Ukraine,2023-01-01,1513153.5296228912
crossborder,natural_gas,DE,Germany,AT,Austria,2023-01-01,2905018.133862851
crossborder,natural_gas,DE,Germany,AT,Austria,2023-01-02,5861115.943884747
crossborder,natural_gas,IT,Italy,AT,Austria,2023-01-02,2159317.621355023
crossborder,natural_gas,SK,Slovakia,AT,Austria,2023-01-02,24719468.217893887
crossborder,natural_gas,FR,France,BE,Belgium,2023-01-01,21987461.09732573
crossborder,natural_gas,NL,Netherlands,BE,Belgium,2023-01-01,14770312.677707223
crossborder,natural_gas,NO,Norway,BE,Belgium,2023-01-01,43302666.1146112
crossborder,natural_gas,GB,United Kingdom,BE,Belgium,2023-01-01,31475397.362355392
crossborder,natural_gas,lng,LNG,BE,Belgium,2023-01-01,35087362.404231235
crossborder,natural_gas,CH,Switzerland,BG,Bulgaria,2023-01-02,3784862.255251846
crossborder,natural_gas,GR,Greece,BG,Bulgaria,2023-01-01,4564264.491091444
crossborder,natural_gas,GR,Greece,BG,Bulgaria,2023-01-02,3784838.1976793786
crossborder,natural_gas,RU,Russia,BG,Bulgaria,2023-01-01,24506911.87311391
crossborder,natural_gas,DE,Germany,CH,Switzerland,2023-01-01,5539.489313244569
crossborder,natural_gas,FR,France,CH,Switzerland,2023-01-01,23105294.859210525
crossborder,natural_gas,IT,Italy,CH,Switzerland,2023-01-01,364715.3313335123
crossborder,natural_gas,DE,Germany,CZ,Czech Republic,2023-01-02,31707317.33647997
crossborder,natural_gas,AT,Austria,DE,Germany,2023-01-01,1558709.4286335942
crossborder,natural_gas,AT,Austria,DE,Germany,2023-01-02,236365.66267672824
crossborder,natural_gas,BE,Belgium,DE,Germany,2023-01-01,69910785.72070912
production,natural_gas,DE,Germany,DE,Germany,2023-01-01,12997632.2598807
production,natural_gas,DE,Germany,DE,Germany,2023-01-02,13294927.33320599
crossborder,natural_gas,FR,France,DE,Germany,2023-01-01,28067864.595066093
crossborder,natural_gas,NL,Netherlands,DE,Germany,2023-01-01,69028289.89519723
crossborder,natural_gas,NL,Netherlands,DE,Germany,2023-01-02,77681007.27153838
crossborder,natural_gas,NO,Norway,DE,Germany,2023-01-01,118700732.58906958
crossborder,natural_gas,NO,Norway,DE,Germany,2023-01-02,119322741.5253218
crossborder,natural_gas,lng,LNG,DE,Germany,2023-01-01,1493533.9953878406
crossborder,natural_gas,lng,LNG,DE,Germany,2023-01-02,2575771.779895868
crossborder,natural_gas,DE,Germany,DK,Denmark,2023-01-01,3747611.3205592954
