departure_date_utc,arrival_date_utc,status,commodity_origin_iso2,commodity_destination_iso2,commodity_destination_region,commodity,value_tonne,value_eur
2022-01-20T04:34:00Z,2022-01-26T15:32:00Z,completed,RU,RU,Others,oil_or_chemical,6670,3777080.93
2022-01-20T02:12:00Z,2022-02-01T12:03:00Z,completed,KZ,ES,EU,crude_oil,115831,65382408.579978704
2022-01-19T19:57:00Z,2022-01-27T20:41:00Z,completed,RU,TR,Turkey,oil_or_chemical,6573,3942406.524
2022-01-19T15:06:00Z,2022-01-24T14:24:00Z,completed,RU,PL,EU,oil_or_chemical,38734,24191629.572
2022-01-19T13:43:00Z,2022-01-27T16:01:00Z,completed,RU,FR,EU,oil_or_chemical,40149,25075379.142
2022-01-19T09:48:00Z,2022-02-02T22:48:00Z,completed,RU,EE,EU,oil_or_chemical,50922,31803742.476
2022-01-19T09:40:00Z,2022-01-20T17:34:00Z,completed,RU,EE,EU,oil_products,7026,4388144.508
2022-01-19T04:14:00Z,2022-01-28T10:36:00Z,completed,RU,RU,Others,oil_products,6613,3717332.625
2022-01-19T03:01:00Z,2022-02-06T15:57:00Z,completed,RU,US,United States,oil_or_chemical,45680,25243316.16
2022-01-18T18:18:00Z,2022-01-30T13:30:00Z,completed,RU,TR,Turkey,oil_products,6707,3995011.136
2022-01-18T17:23:00Z,2022-02-07T20:00:00Z,completed,RU,RU,Others,oil_or_chemical,6407,3575432.757
2022-01-18T16:32:00Z,2022-01-24T01:52:00Z,completed,RU,CN,China,crude_oil,107617,61173451.01038493
2022-01-18T13:42:00Z,2022-01-31T06:08:00Z,completed,RU,RU,Others,crude_oil,108560,61709486.806799926
2022-01-18T12:54:00Z,2022-01-23T10:22:00Z,completed,RU,PL,EU,crude_oil,113867,63550135.559352
2022-01-18T12:01:00Z,2022-01-19T04:56:00Z,completed,RU,EE,EU,oil_or_chemical,15441,9575983.206
2022-01-18T07:41:00Z,2022-03-12T09:33:00Z,completed,RU,ES,EU,crude_oil,114445,63872722.24692
2022-01-18T06:48:00Z,2022-01-23T04:13:00Z,completed,RU,DE,EU,oil_or_chemical,39378,24420896.748
2022-01-17T08:25:00Z,2022-01-27T09:35:00Z,completed,RU,TR,Turkey,crude_oil,108983,59694310.462326735
2022-01-17T05:05:00Z,2022-01-17T05:16:00Z,completed,RU,RU,Others,crude_oil,45980,25665530.726446383
2022-01-17T01:58:00Z,2022-01-30T15:07:00Z,completed,KZ,GR,EU,crude_oil,104026,56979165.008799545
2022-01-17T01:00:00Z,2022-01-21T01:19:00Z,completed,RU,BG,EU,oil_products,7023,4328724.372
2022-01-16T20:53:00Z,2022-03-01T00:33:00Z,completed,KZ,CN,China,crude_oil,158096,85801780.06945062
2022-01-16T18:46:00Z,2022-01-26T11:25:00Z,completed,RU,TR,Turkey,oil_products,7008,4123282.944
2022-01-16T16:59:00Z,2022-01-24T20:06:00Z,completed,RU,RU,Others,oil_products,6477,3569526.516
2022-01-16T15:54:00Z,2022-02-13T14:09:00Z,completed,RU,AR,Others,crude_oil,73741,40020677.71544731
2022-01-16T15:15:00Z,2022-01-29T23:57:00Z,completed,RU,RU,Others,oil_products,6999,3857204.892
2022-01-16T14:57:00Z,2022-01-19T21:14:00Z,completed,RU,TR,Turkey,oil_or_chemical,38396,22590977.728
2022-01-16T13:12:00Z,2022-02-06T08:50:00Z,completed,RU,IT,EU,crude_oil,114218,61988334.40423863
2022-01-16T12:58:00Z,2022-01-30T15:34:00Z,completed,RU,NL,EU,oil_products,45975,28166629.725
2022-01-16T12:55:00Z,2022-01-18T15:34:00Z,completed,RU,PL,EU,crude_oil,115091,62462128.51668063
2022-01-16T12:08:00Z,2022-01-21T04:09:00Z,completed,RU,CN,China,crude_oil,114674,63432125.308486626
2022-01-16T04:24:00Z,2022-01-21T11:57:00Z,completed,RU,DE,EU,crude_oil,111006,60245119.410923965
2022-01-16T03:00:00Z,2022-01-22T01:03:00Z,completed,RU,NL,EU,oil_or_chemical,49999,30631937.349
2022-01-16T02:38:00Z,2022-01-27T16:32:00Z,completed,RU,RU,Others,oil_products,5600,3086204.8
2022-01-16T01:19:00Z,2022-01-23T06:44:00Z,completed,RU,RU,Others,oil_products,6477,3569526.516
